"","Popularity","Explicit","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time.Signature","Release.Year","genreSimplified"
"277",54,"false",0.489,0.835,0,-4.448,1,0.0332,0.00746,0,0.146,0.444,145.885,4,2017,"Pop"
"278",47,"false",0.435,0.56,8,-11.359,1,0.0685,0.213,0,0.0912,0.176,130.162,4,1989,"Both"
"280",27,"false",0.769,0.696,7,-6.233,1,0.0368,0.323,1.57e-06,0.108,0.97,112.842,4,2005,"Other"
"282",65,"false",0.957,0.554,3,-6.618,0,0.0669,0.00529,0.00179,0.249,0.642,101.784,4,2002,"Pop"
"283",50,"false",0.691,0.598,7,-9.699,1,0.043,0.625,0.0174,0.0709,0.842,167.797,4,1995,"Pop"
"284",41,"false",0.687,0.438,0,-13.461,1,0.0287,0.189,8.2e-05,0.0762,0.74,114.97,4,1987,"Both"
"285",36,"false",0.736,0.883,9,-5.595,0,0.214,0.0117,0,0.0734,0.797,112.92,4,2016,"Pop"
"286",24,"false",0.706,0.695,2,-10.526,1,0.411,0.226,0,0.0496,0.972,181.337,4,1983,"Other"
"288",12,"false",0.641,0.866,11,-3.981,1,0.0434,0.1,0,0.112,0.671,118.941,4,2009,"Pop"
"289",25,"false",0.689,0.599,2,-9.938,1,0.0302,0.0952,0.000243,0.0723,0.967,125.359,4,1966,"Other"
"290",42,"false",0.611,0.638,9,-5.086,1,0.0409,0.431,0,0.104,0.424,169.92,4,2008,"Both"
"291",51,"false",0.74,0.598,7,-9.658,0,0.0321,0.15,0,0.0664,0.952,101.933,4,1978,"Rock"
"292",42,"false",0.57,0.89,11,-2.049,0,0.0625,0.0407,0,0.677,0.563,125.003,4,2023,"Pop"
"294",2,"false",0.682,0.537,2,-10.254,0,0.0323,0.218,3.07e-05,0.0556,0.963,124.574,4,1972,"Rock"
"296",21,"false",0.377,0.866,6,-3.3,0,0.0768,0.0587,0,0.107,0.226,168.968,4,2018,"Pop"
"298",31,"false",0.474,0.796,9,-6.29,1,0.0394,0.0791,0,0.147,0.711,164.033,4,1998,"Both"
"299",70,"false",0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,4,2016,"Pop"
"300",22,"false",0.681,0.851,5,-6.817,1,0.0489,0.464,1.22e-05,0.199,0.438,100.724,4,2010,"Rock"
"301",27,"false",0.506,0.468,1,-7.653,0,0.0281,0.635,1.24e-05,0.113,0.193,84.023,4,2016,"Pop"
"302",47,"false",0.593,0.56,5,-11.749,1,0.0653,0.572,0.00369,0.0719,0.577,140.511,4,1976,"Rock"
"304",64,"false",0.677,0.497,5,-5.763,1,0.0809,0.152,0,0.0911,0.419,99.137,4,2017,"Pop"
"305",9,"false",0.632,0.849,7,-2.686,1,0.0265,0.004,0,0.111,0.698,99.99,4,2019,"Both"
